DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
19-Mar-26,125.88,125.88,120.73,121.32,101167992
18-Mar-26,127.88,128.07,127.11,127.91,27955998
17-Mar-26,127.82,129.08,127.82,128.22,28319680
16-Mar-26,128,128.87,126.86,127.22,56788314
13-Mar-26,131.38,131.38,129.87,130.32,37192341
12-Mar-26,131.9,132.65,131.54,132.43,30302165
11-Mar-26,133.43,133.44,132.33,132.71,32157892
10-Mar-26,131.51,132.78,131.51,132.2,37242470
09-Mar-26,129.89,132.18,125.86,131.35,69277274
06-Mar-26,132.31,132.31,130.61,130.82,45371780
05-Mar-26,136,137.3,131.25,132.24,65008653
04-Mar-26,134.4,135.3,104.72,133.96,104088677
02-Mar-26,140.1,142,135.23,138.32,177836182
27-Feb-26,130.7,131.8,130.65,131.6,43704178
26-Feb-26,132.69,133.79,130,130.48,40839441
25-Feb-26,131.1,132,130.64,131.69,44906554
24-Feb-26,130.11,134,130.11,131.22,48385152
23-Feb-26,130.72,132,129.3,130,56313912
20-Feb-26,126.88,127.7,123.91,127.54,38275525
19-Feb-26,126.11,128,126.11,127.09,66724126
18-Feb-26,124.21,125.38,124.21,124.64,38119799
17-Feb-26,126,126.19,123.39,124.58,56084677
16-Feb-26,127.08,127.08,125.82,126.92,47510656
13-Feb-26,126.5,126.78,124,126.1,56101521
12-Feb-26,129,129.27,128.1,128.52,42181114
11-Feb-26,128.34,130,127.9,128.7,39299287
10-Feb-26,127.98,128.44,127.68,128.34,48442393
09-Feb-26,129.1,129.9,127.4,127.98,90368722
06-Feb-26,123.89,125.58,121.55,125.04,95408028
05-Feb-26,125.88,126.19,121.61,125.22,128187910
04-Feb-26,128.25,132,128.1,129.6,159221122
03-Feb-26,120.1,126.8,120,125.2,219625720
02-Feb-26,121.99,122,112.1,118.67,279790835
01-Feb-26,120.35,124.88,115.66,122.31,253578131
30-Jan-26,138.7,142.8,127.1,131.12,352204561
29-Jan-26,143,148.14,141.64,146.53,271824296
28-Jan-26,132,137.1,132,135.82,184193702
27-Jan-26,130.55,134,129.03,131.45,139657546
23-Jan-26,129.1,132.48,126,127.42,141941218
22-Jan-26,131.44,131.84,119,124.34,233048051
21-Jan-26,127,135.9,127,134.97,248755481
20-Jan-26,121.99,126.9,120.2,125.86,171440092
19-Jan-26,119.15,122.9,118.56,121.1,91475080
16-Jan-26,117.79,118.4,117.04,117.78,65356923
14-Jan-26,117.83,118.49,116.36,118.01,77320821
13-Jan-26,116.98,117.14,116,116.37,59657307
12-Jan-26,115.7,117,114.81,116.76,70988427
09-Jan-26,113.26,113.88,112.61,113.61,39284191
08-Jan-26,112.73,112.96,111.42,112.29,37515879
07-Jan-26,113.51,113.99,112.46,112.91,39011859
06-Jan-26,113.62,113.71,113.01,113.14,45693265
05-Jan-26,112.16,113.2,111.84,112.92,50850027
02-Jan-26,111.62,111.98,110.92,111.82,37641644
01-Jan-26,110.35,110.65,109.7,110.52,24308237
31-Dec-25,111.17,111.48,109.75,110.11,40043851
30-Dec-25,111.78,117,110.1,111.17,55356981
29-Dec-25,115.44,115.45,112,113.03,73386481
26-Dec-25,113.37,114.48,113.37,114.31,46010219
24-Dec-25,113.49,115,112.99,113.21,47649347
23-Dec-25,112.52,113.74,112.52,113.1,45892148
22-Dec-25,110.7,111.55,110.34,111.39,66926289
19-Dec-25,109.79,110.09,109.32,109.82,25353023
18-Dec-25,110.05,110.58,109.77,109.88,26801568
17-Dec-25,110.13,111.77,109.46,109.99,48571973
16-Dec-25,109.46,110.05,109.2,109.56,36341576
15-Dec-25,110.45,111.09,109.72,110.95,44275839
12-Dec-25,108.2,109.98,108.2,109.61,42813407
11-Dec-25,106.86,107.28,106.37,107.15,20249677
10-Dec-25,106.85,106.85,106.1,106.23,21093711
09-Dec-25,106.76,106.76,105.5,106.28,22835801
08-Dec-25,106.77,106.96,106.11,106.85,26109955
05-Dec-25,106.27,107.02,105.82,106.89,22860218
04-Dec-25,106.67,106.96,105.7,105.92,27124243
03-Dec-25,106.25,106.7,106.24,106.51,25811907
02-Dec-25,106.65,106.65,105.39,105.63,26342500
01-Dec-25,106.09,106.8,105.77,106.72,32935620
28-Nov-25,104.6,104.98,104.31,104.62,18626408
27-Nov-25,104.1,104.4,103.84,104.11,19397032
26-Nov-25,103.91,104.35,103.91,104.18,23022226
25-Nov-25,103.22,104,103.1,103.46,24988736
24-Nov-25,101.99,102.34,101.55,102.23,24131584
21-Nov-25,101.65,102.29,100.61,102,23459553
20-Nov-25,101.5,102.07,101.02,101.55,20599534
19-Nov-25,101.25,102.6,101.25,102.23,22235008
18-Nov-25,100.87,101.12,100.01,100.91,35663185
17-Nov-25,103.36,103.36,101,101.94,27817135
14-Nov-25,105.12,105.12,103.56,103.81,28533187
13-Nov-25,104.16,105.46,104.16,105.37,33205778
12-Nov-25,102.98,102.98,102.15,102.69,29596247
11-Nov-25,102.83,103.72,102.8,103.29,33803897
10-Nov-25,101.19,101.85,100.46,101.7,30575428
07-Nov-25,99.98,100.07,99.33,99.94,18104481
06-Nov-25,99.13,100.2,99.13,100.07,20330108
04-Nov-25,99.83,99.98,99.03,99.8,24923826
03-Nov-25,100.02,100.7,99.72,100.05,23319552
31-Oct-25,99.76,100.5,99.42,100.02,27796134
30-Oct-25,99.26,100.1,97.3,99.68,42611116
29-Oct-25,98,100.14,98,99.95,42880758
28-Oct-25,99.98,99.98,96.6,96.84,70686340
27-Oct-25,100.75,101.21,99.83,100.14,57197149
24-Oct-25,101.12,102.24,100,100.42,45384572
23-Oct-25,105.2,105.2,95.55,101.7,93781372
21-Oct-25,108.21,108.21,104.09,105.69,21802659
20-Oct-25,106.9,106.9,103.9,105.14,116061717
17-Oct-25,105.73,108.69,105.73,108.11,62619301
16-Oct-25,105.35,106.2,104.76,105.37,56566354
15-Oct-25,105.2,106.23,104.91,105.29,76144009
14-Oct-25,105.73,105.75,103.3,105.09,85463491
13-Oct-25,102.6,102.75,101.6,102.65,50586865
10-Oct-25,100,101,99.03,100.67,50044730
09-Oct-25,102.6,102.6,100.39,101.47,57014951
08-Oct-25,100.1,101.94,99.7,101.69,57364133
07-Oct-25,99.22,100.18,99.05,99.66,53314468
06-Oct-25,98.2,99.8,97.35,99.22,57326883
03-Oct-25,96.88,97.49,96.51,97.07,44922680
01-Oct-25,97.6,97.79,95.85,97.63,35428401
30-Sep-25,97.74,97.74,95.32,95.85,51685690
29-Sep-25,94.8,95.96,94.34,95.9,34621491
26-Sep-25,93.39,96.2,93.39,94.22,30115973
25-Sep-25,97,97,93.47,94.43,31941819
24-Sep-25,95.9,97.5,94.51,94.64,35825570
23-Sep-25,94.13,95.38,93,95.13,36910438
22-Sep-25,92,93.21,91.43,93.14,29191689
